filename,channel,device,rheobase_i,sag,vm_for_sag,input_resistance,tau,fi_fit_slope,v_baseline,hero_avg_rate,hero_stim_amp,hero_v_baseline,hero_sag,hero_adapt,hero_latency,hero_isi_cv,hero_mean_isi,hero_median_isi,hero_first_isi,hero_threshold_v,hero_upstroke,hero_downstroke,hero_upstroke_downstroke_ratio,hero_width,hero_fast_trough_v,hero_peak_v,hero_peak_deltav,hero_fast_trough_deltav,rheobase_avg_rate,rheobase_stim_amp,rheobase_v_baseline,rheobase_sag,rheobase_adapt,rheobase_latency,rheobase_isi_cv,rheobase_mean_isi,rheobase_median_isi,rheobase_first_isi,rheobase_threshold_v,rheobase_upstroke,rheobase_downstroke,rheobase_upstroke_downstroke_ratio,rheobase_width,rheobase_fast_trough_v,rheobase_peak_v,rheobase_peak_deltav,rheobase_fast_trough_deltav,adapt_mean,isi_cv_mean,upstroke_adapt_ratio,downstroke_adapt_ratio,upstroke_downstroke_ratio_adapt_ratio,width_adapt_ratio,fast_trough_v_adapt_ratio,peak_v_adapt_ratio,threshold_v_adapt_ratio,isi_adapt_ratio,peak_ratio_chirp,peak_freq_chirp,z_max_chirp,z_min_chirp,z_mean_chirp,phase_at_peak_chirp,sheet,timestamp,rheobase_adp_v,hero_adp_v
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_07_16_153257_ITC1600_Dev_0-compressed.nwb,2,2,168.00000279815208,0.0331544391810894,-84.01250457763672,109.91197232903926,0.01971670811343129,0.014898710760141945,-58.83452606201172,16.0,201.6249944780668,-61.654937744140625,-0.5433246493339539,0.020735360193651197,0.0017600000000004279,0.1344281393144606,0.06171999999999996,0.060719999999999885,0.05163999999999991,-53.474998474121094,120.54016004992461,-7.42642335763468,16.23125349109059,0.009240000000000137,-53.224998474121094,8.34999942779541,61.824997901916504,0.25,10.0,168.00000279815208,-62.61680603027344,-2.744493007659912,0.12798631058857,0.0043000000000001926,0.3081116253546268,0.10313000000000005,0.0926800000000001,0.07157999999999998,-54.01874923706055,134.215288541032,-10.403113818320323,12.901453438361235,0.006420000000000314,-56.05000305175781,10.399999618530273,64.41874885559082,-2.0312538146972656,-0.021189368416912626,0.3442055077570205,0.8567676544742718,0.5566427629620768,1.5391696640680874,0.5794392523364118,0.33050848380458625,0.617788456688971,0.9775541320688376,0.28346950309533114,3.305327055897632,13.850692534626733,9.747493856635517,0.043297740086690094,2.9490255250969035,1.1033677119585747,mouse TEa e to e,2019_07_16_153257,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_07_16_153257_ITC1600_Dev_0-compressed.nwb,3,3,31.500000524653515,0.06470972299575806,-80.96875,344.46765135692647,0.03069739976045172,0.26736095256544473,-65.20311737060547,9.999999999999991,63.00000104930703,-64.33104705810547,-11.688314437866211,0.07286043625094388,0.04418000000000033,0.1749417776132032,0.106595,0.11148000000000025,0.07833999999999985,-40.24374771118164,143.1351897701115,-41.66657626905452,3.435252007408563,0.0020799999999998597,-46.20624923706055,24.700000762939453,64.9437484741211,-5.962501525878906,1.9999999999999982,31.500000524653515,-63.20813751220703,-12.781749725341797,,0.11612000000000045,,,,,-41.11250305175781,140.49027180933177,-38.15294224035471,3.6822919428933045,0.0021999999999997577,-48.537498474121094,24.10000228881836,65.21250534057617,-7.424995422363281,0.15013331120861087,0.18578327182852106,1.02338003927928,1.0869436379004838,0.9415207961067955,0.9545454545455555,0.9728303164444246,1.011929316990391,0.9785649520533531,,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_07_16_153257,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_07_16_153257_ITC1600_Dev_0-compressed.nwb,9,5,10.500000174884505,0.010818724520504475,-76.875,225.71043220742396,0.08420521993954369,8.074328370220363e-18,-61.06400680541992,2.0,14.749999832641691,-65.90742492675781,-83.9380874633789,,0.05231999999999992,,,,,-57.67499923706055,56.52561216000104,,,,,-7.46250057220459,50.21249866485596,,2.0,10.500000174884505,-67.13813781738281,2.035651683807373,,0.0873999999999997,,,,,-59.406253814697266,69.87805338621713,-5.50879289110761,12.684821297060472,0.1645000000000003,-65.8062515258789,-6.268749713897705,53.13750410079956,-6.399997711181641,,,0.6403651916994346,,,,,1.7617150575426002,0.9599157978174138,,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_07_16_153257,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_07_16_153257_ITC1600_Dev_0-compressed.nwb,10,6,42.00000069953802,0.1428653448820114,-86.96250915527344,410.29112456574455,0.04964855903282653,0.16310855796670662,-63.23056411743164,12.0,84.00000139907604,-65.26812744140625,-6.647233486175537,0.03082088373618043,0.0343,0.10610546815310887,0.08429599999999997,0.0859399999999999,0.06843999999999983,-37.98749923706055,160.07169780096416,-37.76428172984247,4.238706271340802,0.0032999999999994145,-54.38125228881836,36.38750457763672,74.37500381469727,-16.393753051757812,4.0,42.00000069953802,-64.3354263305664,-31.516016006469727,,0.08767999999999976,0.0,0.1824400000000006,0.1824400000000006,0.1824400000000006,-37.437503814697266,150.6581570056064,-35.20130038693679,4.279903166915835,0.0035799999999994725,-55.562503814697266,35.20000457763672,72.63750839233398,-18.125,0.03744677400366781,0.07664442845955363,1.0838782670743659,1.0535368803916692,1.0287995486891897,0.9385474860338522,0.979190034010105,1.0378194673079404,1.0449080126924581,,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_07_16_153257,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_07_16_153257_ITC1600_Dev_0-compressed.nwb,11,7,336.7499890050141,0.03785263001918793,-81.32500457763672,320.27908680046687,0.051238428248021786,8.760897622227069e-19,-55.031227111816406,2.0,378.8749869393371,-77.6315689086914,-9.745887756347656,,0.006479999999999819,,,,,-44.900001525878906,131.08685258166958,,,,,28.500001907348633,73.40000343322754,,2.0,336.7499890050141,-77.71183776855469,-11.261290550231934,,0.007580000000000808,,,,,-46.443748474121094,135.73845895333594,,,,,27.868751525878906,74.3125,,,,0.9657311096093593,,,,,1.0226508310170819,0.9667609312563912,,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_07_16_153257,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_09_05_145615_ITC1600_Dev_0-compressed.nwb,2,2,115.4999984542826,0.03478298708796501,-80.0999984741211,103.50661129863599,0.18311614382597488,0.07176606059092176,-66.79476165771484,10.0,161.75000228102476,-67.32274627685547,-13.691224098205566,0.05242469242779895,0.015940000000000065,0.11978184461280598,0.09499500000000005,0.09521000000000002,0.07998000000000038,-48.962501525878906,317.80083285004775,-48.057422010917364,6.612939678242663,0.0017199999999997218,-53.29999923706055,48.26874923706055,97.23125076293945,-4.337497711181641,4.0,115.4999984542826,-65.73269653320312,-18.836978912353516,,0.026500000000000412,0.0,0.11453999999999986,0.11453999999999986,0.11453999999999986,-46.88125228881836,302.6612370302241,-46.540604200529785,6.503165187244793,0.0017799999999996707,-53.66875076293945,47.82500076293945,94.70625305175781,-6.787498474121094,0.05977974527738694,0.11683981782811631,1.0641599509896207,1.0387399943018047,1.024471914846123,0.9662921348314831,0.985093760788392,1.0015681536235397,1.056525744979165,,2.5722121855264435,2.3001150057502877,0.306541344175835,0.010503313837910271,0.11917420572871461,1.2994664528721338,mouse TEa e to e,2019_09_05_145615,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_09_05_145615_ITC1600_Dev_0-compressed.nwb,9,5,115.4999984542826,0.021055320277810097,-78.32500457763672,349.3690181943656,0.04459537770353012,0.056925300678006774,-65.15766143798828,18.0,161.75000228102476,-64.25605010986328,-9.625228881835938,0.017926713098628495,0.009100000000000108,0.10271678258429025,0.05854250000000005,0.05997999999999992,0.04891999999999985,-47.61250305175781,223.08803168707564,-39.55471778410904,5.639985422338178,0.0017800000000001148,-47.53125,32.51250076293945,80.12500381469727,0.0812530517578125,12.0,115.4999984542826,-59.74860763549805,-7.386249542236328,0.08235675018827203,0.010119999999999685,0.2928867876184935,0.08328000000000006,0.07223999999999986,0.051620000000000665,-45.95000457763672,208.81549422911343,-38.712036945662796,5.394071475035328,0.0017199999999997218,-46.35000228881836,31.11250114440918,77.0625057220459,-0.3999977111816406,0.034278521116582444,0.1538628254573666,1.1251292529711463,1.0476082551794625,1.073998078392771,0.9883720930231777,0.9848975031634826,1.1064685186180823,1.0572632077757054,0.22496749672495345,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_09_05_145615,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_09_05_145615_ITC1600_Dev_0-compressed.nwb,10,6,73.49999775474458,0.0861174538731575,-78.5562515258789,292.5646127861443,0.04944209928282929,0.11666515202175644,-65.3774185180664,12.0,117.62499307899077,-66.03752136230469,-20.75285530090332,0.035032966110066226,0.03624000000000027,0.10841473952931198,0.07874400000000001,0.0800800000000006,0.06677999999999962,-43.568748474121094,240.02340976452552,-43.80845198496963,5.478929267961257,0.0017800000000001148,-49.33125305175781,43.76250076293945,87.33124923706055,-5.762504577636719,6.0,73.49999775474458,-66.06588745117188,-25.774768829345703,0.06004220218683922,0.09011999999999976,0.06004220218683922,0.15639000000000003,0.15639000000000003,0.14700000000000024,-41.256248474121094,221.76217633989452,-42.53176336646626,5.214036728953041,0.0018599999999997507,-48.593753814697266,43.01874923706055,84.27499771118164,-7.337505340576172,0.04415354015656051,0.09731753420780496,1.0931153513594634,1.058237587336243,1.0329583492786467,0.956989247312018,1.0050160296755655,1.015836153722759,1.0766551105780282,0.5775494580183845,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_09_05_145615,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_09_05_145615_ITC1600_Dev_0-compressed.nwb,11,7,63.00000104930703,0.0424174964427948,-77.58750915527344,318.05317905289365,0.050342547019166496,0.15881988662818045,-65.1521987915039,16.0,113.37499689068053,-67.21361541748047,-8.660725593566895,0.026150429096592723,0.027620000000000644,0.11558721733677671,0.06140571428571435,0.06121999999999872,0.049999999999998934,-41.593753814697266,231.660460674536,-45.43780028081427,5.0984083569809755,0.001800000000001134,-47.38750457763672,44.993751525878906,86.58750534057617,-5.793750762939453,8.0,63.00000104930703,-66.59378814697266,-12.048049926757812,0.045993052367758844,0.07826000000000022,0.09020082170311153,0.1267600000000003,0.13316000000000017,0.11069999999999958,-39.68124771118164,221.79917829397226,-43.451002756338006,5.104581349658711,0.0018399999999996197,-48.39375305175781,44.943748474121094,84.62499618530273,-8.712505340576172,0.032474739880489996,0.09372883153680928,1.04482116597014,1.0588686990134577,0.9867334514124314,0.9673913043480884,0.9718455554458995,1.006118793719159,1.0538667730031366,0.5664951248232293,,1.000050002500125,inf,inf,inf,,mouse TEa e to e,2019_09_05_145615,,
/Volumes/Buffer/nwb_v2/Mouse_TEa_L23_E2E/2019_11_14_134806_ITC1600_Dev_0-compressed.nwb,0,0,94.4999981045136,0.03020506538450718,-80.36249542236328,133.14149669682737,0.08546611139262589,0.22666580670728612,-67.99364471435547,18.000000000000004,151.2499986366933,-68.42974853515625,-11.3411283493042,0.11461158965250658,0.04092000000000007,0.3244453516311809,0.0532175,0.06057000000000001,0.01089999999999991,-37.36874771118164,194.34885910459482,-57.4677930681199,3.3818744157135434,0.0013199999999999878,-36.33125305175781,34.53125,71.89999771118164,1.0374946594238281,2.0000000000000004,94.4999981045136,-68.47772216796875,-15.403607368469238,,0.19644000000000006,,,,,-35.587501525878906,187.95900851607203,-56.22485875102372,3.342987651572353,0.0013800000000000479,-38.625,34.21875,69.8062515258789,-3.0374984741210938,0.10977501613786825,0.28314193476344884,1.0338991169177933,1.0156521048685427,1.0179658093177608,0.9710144927535952,0.9207119741100324,1.0385387681934932,1.0233578981782712,,1.6030159982926904,1.000050002500125,0.19561735637259192,0.06755802419545726,0.12203081976782286,-0.19297485690493554,mouse TEa e to e,2019_11_14_134806,,
